epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,800.836,0.84188,1.25445,0.78733,1.03288,0.5957,0.61035,0.61087,0.41017,0.58691,0.60073,0.59172,0.38236,1.3657,2.22946,1.29026,1.5188,0.000189757,0.000189757,0.000189757
41,821.592,0.83416,1.20694,0.70625,1.03492,0.66987,0.59056,0.62325,0.4177,0.66343,0.58519,0.60572,0.37785,1.37375,2.31395,1.38325,1.49861,0.000173264,0.000173264,0.000173264
42,841.189,0.82069,1.19391,0.6628,1.03343,0.6996,0.58208,0.64519,0.43314,0.72343,0.55978,0.63032,0.39701,1.36473,2.33444,1.31804,1.49042,0.000156771,0.000156771,0.000156771
43,860.673,0.7929,1.14433,0.61515,1.01784,0.77094,0.49576,0.61805,0.4151,0.71394,0.52361,0.60073,0.38985,1.35731,2.30736,1.35843,1.48011,0.000140277,0.000140277,0.000140277
44,880.147,0.76905,1.1213,0.5981,0.99083,0.69319,0.54033,0.61777,0.42114,0.68198,0.53705,0.59855,0.39402,1.36237,2.32199,1.36704,1.51021,0.000123784,0.000123784,0.000123784
45,899.595,0.76545,1.10994,0.57988,0.99415,0.68089,0.58422,0.61656,0.41257,0.67527,0.57881,0.59649,0.37773,1.3832,2.33562,1.37664,1.51811,0.00010729,0.00010729,0.00010729
46,919.317,0.74296,1.08889,0.55484,0.9831,0.68414,0.59666,0.63278,0.42991,0.67712,0.5761,0.6121,0.39322,1.38454,2.32313,1.42314,1.50641,9.0797e-05,9.0797e-05,9.0797e-05
47,938.807,0.73367,1.07046,0.5457,0.97363,0.72998,0.58248,0.64592,0.44712,0.72245,0.56891,0.62401,0.41157,1.37161,2.29275,1.34532,1.48846,7.43036e-05,7.43036e-05,7.43036e-05
48,958.567,0.70998,1.0584,0.52673,0.96524,0.73416,0.55417,0.6422,0.43354,0.73273,0.5512,0.62447,0.40539,1.38561,2.33379,1.3719,1.51115,5.78102e-05,5.78102e-05,5.78102e-05
49,978.045,0.70062,1.02824,0.50252,0.95616,0.71384,0.58924,0.63983,0.43263,0.69897,0.58806,0.62501,0.40446,1.38061,2.35098,1.37776,1.50447,4.13168e-05,4.13168e-05,4.13168e-05
50,997.526,0.69353,1.04616,0.5021,0.95573,0.71006,0.57725,0.63992,0.43339,0.7236,0.55812,0.62434,0.39993,1.38754,2.3483,1.38045,1.53071,2.48234e-05,2.48234e-05,2.48234e-05
