epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,792.311,0.95239,1.43462,0.9266,1.09972,0.62926,0.53901,0.58915,0.39927,0.6383,0.53687,0.58202,0.37634,1.35797,2.01017,1.35556,1.44022,0.000189757,0.000189757,0.000189757
41,813.222,0.95692,1.39436,0.85512,1.11261,0.61246,0.58588,0.59644,0.39269,0.65668,0.53456,0.58385,0.367,1.37157,2.04812,1.36018,1.45731,0.000173264,0.000173264,0.000173264
42,832.808,0.95333,1.36995,0.81012,1.11152,0.66565,0.53277,0.60993,0.41171,0.66005,0.51588,0.59719,0.38092,1.3514,2.07786,1.34766,1.45248,0.000156771,0.000156771,0.000156771
43,852.59,0.93162,1.338,0.75713,1.10276,0.65855,0.59004,0.6326,0.42766,0.65079,0.57731,0.61771,0.39501,1.30126,2.0549,1.32657,1.39668,0.000140277,0.000140277,0.000140277
44,872.549,0.91337,1.31317,0.74629,1.07926,0.60443,0.55707,0.58268,0.39336,0.58121,0.55088,0.56481,0.36411,1.32273,2.11452,1.36288,1.43511,0.000123784,0.000123784,0.000123784
45,892.117,0.91136,1.31136,0.73776,1.08373,0.57844,0.61522,0.60677,0.41427,0.56717,0.5946,0.58663,0.37538,1.32682,2.06811,1.3093,1.42729,0.00010729,0.00010729,0.00010729
46,911.637,0.87857,1.2957,0.70379,1.06382,0.53866,0.62752,0.61651,0.42113,0.74839,0.47861,0.59949,0.39062,1.33281,2.07493,1.36606,1.434,9.0797e-05,9.0797e-05,9.0797e-05
47,931.163,0.87175,1.27023,0.68221,1.05558,0.64351,0.59492,0.62791,0.43674,0.72066,0.52792,0.61283,0.40109,1.31531,2.10978,1.30762,1.44057,7.43036e-05,7.43036e-05,7.43036e-05
48,950.969,0.86142,1.26526,0.65801,1.05393,0.58273,0.60725,0.60918,0.41579,0.60171,0.56327,0.58612,0.38457,1.34172,2.10057,1.33589,1.44238,5.78102e-05,5.78102e-05,5.78102e-05
49,970.582,0.84314,1.22564,0.63761,1.036,0.6226,0.58449,0.61143,0.41898,0.61746,0.56696,0.58798,0.38343,1.34031,2.10305,1.32815,1.45192,4.13168e-05,4.13168e-05,4.13168e-05
50,990.147,0.8434,1.24298,0.63295,1.04106,0.58395,0.6071,0.60857,0.42154,0.58245,0.59045,0.5918,0.38234,1.33541,2.09557,1.33442,1.44433,2.48234e-05,2.48234e-05,2.48234e-05
