epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,1853.7,0.93814,1.43744,1.00293,1.12875,0.48445,0.39286,0.40753,0.25317,0.46619,0.3903,0.39454,0.2143,1.59007,2.62284,1.95195,1.6357,0.00026161,0.00026161,0.00026161
50,1889.39,0.92793,1.43178,0.96813,1.13122,0.46864,0.37531,0.40442,0.25416,0.48087,0.36161,0.38988,0.22199,1.56894,2.69446,1.93739,1.62685,0.000252185,0.000252185,0.000252185
51,1925.88,0.9066,1.46052,0.95816,1.10834,0.50766,0.39244,0.40986,0.25636,0.51474,0.37087,0.39496,0.22546,1.5522,2.70552,1.98683,1.64413,0.00024276,0.00024276,0.00024276
52,1960.98,0.89428,1.46023,0.93933,1.11025,0.67247,0.35066,0.41147,0.26342,0.6667,0.3468,0.39949,0.23084,1.55814,2.64086,1.99392,1.61749,0.000233335,0.000233335,0.000233335
53,1996.74,0.88458,1.37883,0.92033,1.09159,0.60399,0.37721,0.40081,0.25889,0.62903,0.35426,0.38743,0.22012,1.52802,2.72654,2.00932,1.63227,0.00022391,0.00022391,0.00022391
54,2032.43,0.88053,1.40987,0.90075,1.09225,0.46869,0.3701,0.38284,0.24331,0.46558,0.36662,0.37688,0.2122,1.56079,2.64134,2.01513,1.66783,0.000214486,0.000214486,0.000214486
55,2072.59,0.85385,1.37961,0.8789,1.08442,0.67775,0.34733,0.41103,0.27015,0.43771,0.41701,0.38787,0.23114,1.53391,2.67159,1.98225,1.63084,0.000205061,0.000205061,0.000205061
56,2114.85,0.85893,1.35075,0.8578,1.07751,0.56524,0.38234,0.38951,0.25482,0.55733,0.37453,0.37456,0.21791,1.57542,2.70785,2.16363,1.65494,0.000195636,0.000195636,0.000195636
57,2149.82,0.85498,1.35209,0.86633,1.07576,0.51043,0.37802,0.3961,0.25342,0.50648,0.37288,0.38415,0.2228,1.52914,2.72336,2.01308,1.60892,0.000186211,0.000186211,0.000186211
58,2184.75,0.8337,1.32921,0.83353,1.07293,0.53181,0.39063,0.40922,0.25965,0.6414,0.34732,0.39085,0.22261,1.55238,2.76452,2.05246,1.61594,0.000176786,0.000176786,0.000176786
59,2221.7,0.84452,1.34326,0.85157,1.08314,0.46219,0.4102,0.40369,0.26609,0.45637,0.40271,0.39117,0.22878,1.53432,2.66581,2.04137,1.61135,0.000167362,0.000167362,0.000167362
60,2258.33,0.80266,1.27561,0.81079,1.05157,0.52038,0.39625,0.4081,0.25988,0.51011,0.38784,0.39146,0.22523,1.54233,2.75729,2.09908,1.62373,0.000157937,0.000157937,0.000157937
61,2293.36,0.82443,1.28969,0.78912,1.05357,0.49287,0.41147,0.41558,0.25761,0.50002,0.39286,0.39575,0.22396,1.5443,2.81302,2.0129,1.64334,0.000148512,0.000148512,0.000148512
62,2328.64,0.80069,1.2769,0.77889,1.05339,0.48638,0.39203,0.39549,0.25237,0.48087,0.38741,0.38832,0.22105,1.56055,2.82173,2.16782,1.64259,0.000139087,0.000139087,0.000139087
63,2364.85,0.80303,1.29173,0.77617,1.05186,0.52106,0.39889,0.42057,0.26238,0.50278,0.38482,0.39891,0.22642,1.57586,2.79063,2.10498,1.67707,0.000129662,0.000129662,0.000129662
64,2400.74,0.79248,1.2569,0.76139,1.04818,0.48248,0.41163,0.4249,0.2711,0.46083,0.38901,0.40227,0.22954,1.56221,2.77223,2.04384,1.64761,0.000120238,0.000120238,0.000120238
65,2437.52,0.78265,1.26683,0.75555,1.05101,0.51517,0.3976,0.423,0.27811,0.53389,0.38835,0.40922,0.23752,1.54798,2.79849,2.06547,1.64742,0.000110813,0.000110813,0.000110813
66,2476.01,0.74909,1.17479,0.60412,1.01037,0.55293,0.39782,0.42075,0.27038,0.54271,0.38891,0.40482,0.23102,1.57077,2.8459,2.1273,1.67848,0.000101388,0.000101388,0.000101388
67,2511.73,0.7313,1.14562,0.56888,1.00079,0.54622,0.37026,0.4072,0.25957,0.43567,0.41213,0.39104,0.22646,1.5648,2.8417,2.16865,1.69189,9.19632e-05,9.19632e-05,9.19632e-05
68,2548.59,0.71722,1.13989,0.57949,0.998,0.49555,0.39954,0.41158,0.2588,0.48603,0.39049,0.39495,0.22844,1.55615,2.8673,2.1347,1.66081,8.25384e-05,8.25384e-05,8.25384e-05
69,2585.49,0.70175,1.12354,0.55864,0.98732,0.55628,0.3865,0.42226,0.26896,0.54795,0.37929,0.40937,0.23244,1.55903,2.88298,2.14096,1.67696,7.31136e-05,7.31136e-05,7.31136e-05
70,2622.39,0.69232,1.10094,0.52479,0.98076,0.52043,0.40453,0.41463,0.26556,0.51382,0.38998,0.39874,0.22913,1.5738,2.91844,2.20799,1.69834,6.36888e-05,6.36888e-05,6.36888e-05
71,2663.62,0.6819,1.09519,0.51755,0.96682,0.5253,0.38878,0.42066,0.26604,0.56393,0.35107,0.40474,0.23367,1.55377,2.89401,2.15279,1.70138,5.4264e-05,5.4264e-05,5.4264e-05
72,2703.15,0.68111,1.09087,0.51164,0.97415,0.53078,0.38048,0.42838,0.2709,0.4377,0.42726,0.41838,0.23818,1.57209,2.89476,2.10067,1.71465,4.48392e-05,4.48392e-05,4.48392e-05
73,2737.97,0.66852,1.08003,0.51231,0.97202,0.50991,0.39081,0.42149,0.27266,0.46206,0.40855,0.40998,0.23977,1.55648,2.86994,2.16073,1.69536,3.54144e-05,3.54144e-05,3.54144e-05
74,2772.77,0.66141,1.05943,0.50379,0.96409,0.55059,0.37886,0.417,0.26975,0.53881,0.36862,0.40638,0.23743,1.55348,2.90022,2.17526,1.68233,2.59896e-05,2.59896e-05,2.59896e-05
75,2807.57,0.65442,1.06135,0.49889,0.95742,0.52957,0.37443,0.41429,0.26819,0.51616,0.36324,0.40384,0.23383,1.56711,2.9136,2.16305,1.69884,1.65648e-05,1.65648e-05,1.65648e-05
