epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1209.85,0.95533,1.45421,0.99819,1.13928,0.46199,0.4148,0.4125,0.2668,0.45196,0.40716,0.40387,0.23861,1.48188,2.36255,1.97465,1.57322,0.000162649,0.000162649,0.000162649
41,1240.84,0.98735,1.47832,0.96097,1.16649,0.56674,0.35652,0.42169,0.26794,0.57112,0.34773,0.41067,0.24833,1.50209,2.32125,1.95943,1.57497,0.000148512,0.000148512,0.000148512
42,1271.21,0.94643,1.41014,0.91444,1.14104,0.4821,0.46203,0.42593,0.27003,0.46942,0.45942,0.41801,0.25358,1.47568,2.29323,1.87413,1.59015,0.000134375,0.000134375,0.000134375
43,1301.76,0.92447,1.38428,0.86244,1.12465,0.52763,0.41941,0.41088,0.26782,0.51797,0.40946,0.40352,0.24425,1.46461,2.30262,1.90983,1.57428,0.000120238,0.000120238,0.000120238
44,1331.41,0.90428,1.33337,0.8116,1.11715,0.52228,0.40166,0.41294,0.26571,0.51262,0.39514,0.40597,0.24774,1.47447,2.28153,1.96034,1.58016,0.0001061,0.0001061,0.0001061
45,1361.01,0.88356,1.35077,0.79926,1.10254,0.46604,0.42744,0.40549,0.25735,0.46744,0.42303,0.40431,0.24063,1.48708,2.37874,2.00005,1.6002,9.19632e-05,9.19632e-05,9.19632e-05
46,1391.12,0.8743,1.3025,0.76226,1.09567,0.48883,0.41618,0.41819,0.26513,0.48076,0.41112,0.40797,0.24844,1.49663,2.32201,2.0068,1.60169,7.7826e-05,7.7826e-05,7.7826e-05
47,1421.16,0.85644,1.28825,0.75887,1.08425,0.52725,0.40218,0.41203,0.25924,0.52469,0.39984,0.40618,0.24368,1.50749,2.38681,1.98453,1.61317,6.36888e-05,6.36888e-05,6.36888e-05
48,1450.87,0.84375,1.28348,0.72162,1.06489,0.5506,0.40224,0.42844,0.27237,0.54166,0.39718,0.4255,0.25252,1.49679,2.37343,1.9942,1.61302,4.95516e-05,4.95516e-05,4.95516e-05
49,1481.3,0.83819,1.26363,0.71153,1.06888,0.52958,0.43014,0.42359,0.26875,0.52319,0.42609,0.41762,0.252,1.49908,2.37507,1.97618,1.62162,3.54144e-05,3.54144e-05,3.54144e-05
50,1511.42,0.83171,1.23154,0.69287,1.06812,0.51036,0.43896,0.42604,0.27135,0.50292,0.43661,0.41996,0.25214,1.50217,2.39438,2.0123,1.61977,2.12772e-05,2.12772e-05,2.12772e-05
